TIME(MS),COMMAND,VALUE
 035250 ,1      ,1
 035250 ,4      ,1
 035250 ,5      ,1
 035250 ,6      ,0
 035300 ,2      ,0
 035300 ,4      ,0
 035300 ,5      ,0
 035300 ,8      ,1
 035350 ,7      ,1
 035400 ,6      ,1
 035400 ,8      ,0
 035450 ,1      ,0
 035450 ,3      ,0
 035450 ,7      ,0
 035500 ,6      ,0
 035500 ,7      ,1
 035550 ,1      ,1
 035550 ,3      ,1
 035700 ,6      ,1
 035700 ,7      ,0
 035950 ,6      ,0
 035950 ,8      ,1
 036000 ,1      ,0
 036000 ,5      ,1
 036100 ,7      ,1
 036100 ,8      ,0
 036300 ,3      ,0
 036300 ,5      ,0
 036400 ,3      ,1
 036400 ,5      ,1
 036500 ,6      ,1
 036500 ,7      ,0
 036850 ,3      ,0
 036850 ,5      ,0
 036850 ,6      ,0
 036850 ,7      ,1
 036950 ,2      ,1
 036950 ,4      ,1
 036950 ,6      ,1
 036950 ,7      ,0
 036950 ,8      ,1
 037200 ,6      ,0
 037200 ,8      ,0
 037250 ,2      ,0
 037250 ,4      ,0
 037350 ,2      ,1
 037350 ,4      ,1
 037350 ,6      ,1
 037350 ,8      ,1
 037600 ,2      ,0
 037600 ,4      ,0
 037650 ,6      ,0
 037650 ,7      ,1
 037650 ,8      ,0
 037700 ,3      ,1
 037700 ,5      ,1
 037800 ,7      ,0
 037800 ,8      ,1
 038100 ,3      ,0
 038100 ,5      ,0
 038200 ,3      ,1
 038200 ,5      ,1
 038250 ,7      ,1
 038250 ,8      ,0
 038550 ,7      ,0
 038650 ,1      ,1
 038650 ,7      ,1
 038900 ,7      ,0
 038900 ,8      ,1
 039050 ,1      ,0
 039050 ,2      ,1
 039050 ,3      ,0
 039050 ,4      ,1
 039050 ,5      ,0
 039100 ,6      ,1
 039100 ,8      ,0
 039350 ,7      ,1
 039500 ,1      ,1
 039500 ,2      ,0
 039500 ,3      ,1
 039500 ,4      ,0
 039500 ,5      ,1
 039500 ,6      ,0
 039500 ,7      ,0
 039500 ,8      ,1
 039800 ,6      ,1
 039800 ,8      ,0
 039900 ,1      ,0
 039900 ,2      ,1
 039900 ,3      ,0
 039900 ,4      ,1
 039900 ,5      ,0
 039950 ,6      ,0
 039950 ,7      ,1
 040250 ,7      ,0
 040250 ,8      ,1
 040400 ,1      ,1
 040400 ,2      ,0
 040400 ,3      ,1
 040400 ,4      ,0
 040400 ,5      ,1
 040400 ,6      ,1
 040400 ,8      ,0
 040650 ,6      ,0
 040650 ,8      ,1
 040750 ,1      ,0
 040750 ,2      ,1
 040750 ,3      ,0
 040750 ,4      ,1
 040750 ,5      ,0
 040800 ,7      ,1
 040800 ,8      ,0
 041100 ,6      ,1
 041100 ,7      ,0
 041200 ,1      ,1
 041200 ,2      ,0
 041200 ,3      ,1
 041200 ,4      ,0
 041200 ,5      ,1
 041250 ,6      ,0
 041250 ,7      ,1
 041250 ,8      ,1
 041500 ,6      ,1
 041500 ,7      ,0
 041500 ,8      ,0
 041650 ,6      ,0
 041650 ,7      ,1
 041700 ,1      ,0
 041700 ,3      ,0
 041700 ,5      ,0
 041850 ,7      ,0
 041950 ,7      ,1
 042100 ,3      ,1
 042100 ,6      ,1
 042100 ,7      ,0
 042350 ,8      ,1
 042500 ,2      ,1
 042500 ,3      ,0
 042500 ,4      ,1
 042500 ,6      ,0
 042500 ,7      ,1
 042500 ,8      ,0
 043000 ,1      ,1
 043000 ,2      ,0
 043000 ,4      ,0
 043000 ,5      ,1
 043000 ,7      ,0
 043000 ,8      ,1
 043250 ,7      ,1
 043400 ,6      ,1
 043550 ,6      ,0
 043550 ,7      ,0
 043550 ,8      ,0
 043700 ,7      ,1
 043750 ,1      ,0
 043750 ,5      ,0
 043850 ,1      ,1
 043850 ,5      ,1
 043850 ,6      ,1
 043850 ,7      ,0
 043850 ,8      ,1
 044100 ,6      ,0
 044100 ,7      ,1
 044100 ,8      ,0
 044250 ,1      ,0
 044250 ,2      ,1
 044250 ,4      ,1
 044250 ,5      ,0
 044250 ,6      ,1
 044250 ,7      ,0
 044600 ,7      ,1
 044650 ,2      ,0
 044650 ,3      ,1
 044650 ,4      ,0
 044650 ,6      ,0
 044950 ,7      ,0
 044950 ,8      ,1
 045150 ,6      ,1
 045150 ,7      ,1
 045200 ,3      ,0
 045300 ,6      ,0
 045300 ,7      ,0
 045300 ,8      ,0
 045400 ,6      ,1
 045400 ,7      ,1
 045400 ,8      ,1
 045500 ,6      ,0
 045500 ,7      ,0
 045500 ,8      ,0
 045550 ,1      ,1
 045550 ,6      ,1
 045550 ,7      ,1
 045850 ,1      ,0
 045850 ,7      ,0
 045950 ,1      ,1
 046000 ,8      ,1
 046250 ,6      ,0
 046250 ,7      ,1
 046400 ,6      ,1
 046400 ,7      ,0
 046450 ,1      ,0
 046450 ,2      ,1
 046700 ,8      ,0
 046850 ,2      ,0
 046850 ,3      ,1
 046850 ,6      ,0
 046850 ,7      ,1
 046850 ,8      ,1
 047250 ,1      ,1
 047250 ,5      ,1
 047250 ,6      ,1
 047250 ,7      ,0
 047250 ,8      ,0
 047550 ,7      ,1
 047700 ,1      ,0
 047700 ,2      ,1
 047700 ,3      ,0
 047700 ,4      ,1
 047700 ,5      ,0
 047700 ,6      ,0
 047700 ,7      ,0
 047700 ,8      ,1
 047950 ,7      ,1
 048100 ,1      ,1
 048100 ,2      ,0
 048100 ,3      ,1
 048100 ,4      ,0
 048100 ,5      ,1
 048100 ,6      ,1
 048100 ,7      ,0
 048100 ,8      ,0
 048350 ,8      ,1
 048500 ,1      ,0
 048500 ,2      ,1
 048500 ,3      ,0
 048500 ,4      ,1
 048500 ,5      ,0
 048550 ,6      ,0
 048550 ,7      ,1
 048550 ,8      ,0
 048600 ,7      ,0
 048650 ,7      ,1
 048850 ,8      ,1
 048950 ,2      ,0
 048950 ,3      ,1
 048950 ,4      ,0
 048950 ,6      ,1
 048950 ,7      ,0
 048950 ,8      ,0
 049350 ,2      ,1
 049350 ,3      ,0
 049350 ,4      ,1
 049350 ,6      ,0
 049400 ,7      ,1
 049850 ,1      ,1
 049850 ,2      ,0
 049850 ,4      ,0
 049850 ,5      ,1
 049850 ,7      ,0
 049850 ,8      ,1
 050100 ,7      ,1
 050100 ,8      ,0
 050250 ,6      ,1
 050250 ,7      ,0
 050250 ,8      ,1
 050550 ,7      ,1
 050600 ,1      ,0
 050600 ,5      ,0
 050600 ,6      ,0
 050600 ,8      ,0
 050700 ,1      ,1
 050700 ,5      ,1
 050700 ,6      ,1
 050700 ,7      ,0
 050700 ,8      ,1
 050850 ,6      ,0
 050850 ,8      ,0
 050950 ,6      ,1
 050950 ,7      ,1
 051100 ,1      ,0
 051100 ,2      ,1
 051100 ,4      ,1
 051100 ,5      ,0
 051100 ,6      ,0
 051100 ,8      ,1
 051350 ,6      ,1
 051500 ,2      ,0
 051500 ,3      ,1
 051500 ,4      ,0
 051500 ,6      ,0
 051500 ,7      ,0
 051500 ,8      ,0
 051550 ,6      ,1
 051550 ,8      ,1
 051950 ,7      ,1
 052050 ,3      ,0
 052050 ,6      ,0
 052050 ,8      ,0
 052200 ,6      ,1
 052200 ,7      ,0
 052400 ,1      ,1
 052400 ,6      ,0
 052400 ,7      ,1
 052400 ,8      ,1
